BoatID;ProjectName;Designer;CreatedBy;FileVersion;DesignerComment;Is Hull;Is Solid;Is Boat;Is Kayak;;Must be closed
1;Sailing yacht;Pier C;Pier c;6.11;50 inches model;1;0;1;;;1
2;Sport Fisherman;Pier C;Pier C;14.30;56 inches model sport fisherman with twin engines;1;0;1;;;1
3;Pegasus;Pier C;Pier C.;14.30;Plan drawn from the yacht kit's name;1;0;1;;;1
4;Cat 7,80m demontierbar;Hendrik Möller;;14.20;;0;1;1;;;0
5;Destroyer Class Tribal;;Marcelo Ariel Santillán;13.50;;1;1;1;;;0
6;Gig-10ft-6-final-final;;;13.40;;1;0;1;;;1
7;MDR-6;;;11.30;;0;1;0;;;0
8;Pinque_13;;;13.10;;0;1;1;;;0
9;Kosta snipa;;;13.10;;0;1;1;;;0
10;Bateau Aroues Aaubes;;;13.10;;0;1;1;;;0
11;Segelyacht 15 m2 SNS Neubau optimal ausgelegt unsinkbar;Rolf Philipp Hagen;Rolf Philipp Hagen mit Excel und Delft Ship;13.10;Segelyacht 15 m2 SNS, R = 4,02, WL = 4,558 m, VL = 5,060 m, V = 0,680 m3, S = 15,000 m2;1;1;1;;;0
12;Hydrlift-p42;;;12.30;;0;1;1;;;0
13;Brigg Joachim Allwardt;J. Möller;AxelF;12.30;www.classic-modellyacht-design.de;1;0;1;;;1
14;LA-28;;Axel Franzen;12.30;;0;1;1;;;0
15;Nagato;;;12.20;Japanese battle ship Nagato;0;1;1;;;0
16;Segelyacht 15 m2 SNS Neubau, unsinkbar, optimal ausgelegt.;Rolf Philipp Hagen;Excel und Delft Ship;11.10;Segelyach 15 m2 SNS, Lf=5,065m, Lw=4,564m, V=0,681m3, S=15,00 m2;0;0;1;;;0
17;LE CARTAHU;DIDIER CHAVANE;DIDIER CHAVANE;12.20;Cotre Breton conçu et construit par mon pére, dans les années 50 ;0;1;1;;;0
18;BAWLEY de LEIGH;Didier CHAVANE;Didier CHAVANE;7.23;Bateau de péche du sud de lAngleterre - 19é et début 20éme siècle;0;1;1;;;0
19;BARROTIN;;;9.30;;0;1;1;;;0
20;Resolution 1669;Sir Anthony Deane;Th.Kowalle;12.20;;1;0;1;;;1
21;El Cazador;unknown;Th.Kowalle;12.20;;1;0;1;;;1
22;Wappen von Hamburg;;Th.Kowalle;12.20;;1;0;1;;;1
23;SLOOP-55-M;;;12.20;;1;0;1;;;1
24;POLYESTER-CABIN;;;12.20;;1;0;1;;;1
25;Revelry Alden Malabar Junior 599a;John Alden;andrew trivett;9.30;;1;0;1;;;1
26;Bente 39;Judel Volijk;AxelF;11.40;;0;1;1;;;0
27;Rumpf-03;;;11.40;;0;1;1;;;0
28;LCT;Rafidiala;Erwine Ratsima;10.30;;0;1;1;;;0
29;NUCLEAR POWERED AGEIS CRUISER;C. E. WILKINS;C.E. Wilkins;11.20;"2 X 8""/60 MK 71 MOD 2, 192 cell MK 41 VLS, 2 X MK 31 RAM";0;1;1;;;0
30;Laurin 28;Arvid Laurin 1966;AxelF;11.20;;0;1;1;;;0
31;Invader II;William Fife III;AxelF;10.30;www.classic-modellyacht-design.de;0;1;1;;;0
32;R/v Aranda;Unknown;AxelF;10.30;;0;1;1;;;0
33;"Pilot Schooner ""GRODEN""";;Jurgen 54;8.13;An ancient and pretty workhorse;1;0;1;;;1
34;NCC-1701-D;Matt Jefferies;Maarten;13.00;A.K.A. 'Enterprise D';0;1;1;;;0
35;Scuna - Brigantino Goletta;Ambrogio Terrizzano;Firpo Giorgio + Jurgen 54;8.08;;1;0;1;;;1
36;Dinghy 250;tgk-design;;7.22;;0;0;1;;;0
37;Planing 01;pstylianopoulos;Pantelis Stylianopoulos;8.06;;1;0;1;;;1
38;Xpedite 50;Cam Clarkson;Cam Clarkson;8.08;;0;0;1;;;0
39;Whitehall;David Telles;;8.08;;1;0;1;;;1
40;Hard chined sailing dinghy;Jo Dierickx;Jo Dierickx;8.08;;1;0;1;;;1
41;HD-sportfisher;Glenn Kivinen;Glenn kivinen;8.08;;0;0;1;;;0
42;min båd;søren udengaard;søren udengaard;8.08;;0;0;1;;;0
43;33 ft sailing boat;;;8.08;;1;0;1;;;1
44;Caledonian yawl;;;8.08;;1;0;1;;;1
45;Jet services;;;8.08;;1;0;1;1;Katamaran;1
46;Dolphin;Ken Swan;Chris Harris;8.08;;1;0;1;;;1
47;CGN 25 (1977);C.E. Wilkins;C.E. Wilkins;6.27;;0;1;1;;;0
48;WALRUS, class WALRUS (parent class HALNY-1);Waldemar Snopko, Wroclaw, 1.7.1988;L. Hubka, 4.1.2014;6.27;;0;1;1;;;0
49;USS Long Beach CGN-9;C. E. Wilkins;C. E. Wilkins;6.23;;0;1;1;;;0
50;LE CARTAHU;DIDIER CHAVANE;DIDIER CHAVANE;6.11;;0;0;1;;;0
51;VLCS  COLOMBO EXPRESS Class;Hyundai Heavy Industries Co. Ltd. Ulsan, 2006;(c) Ralph Grothe, August 2012;6.11;;1;0;1;;;1
52;MS Bremen;Anton Rudolph;Anton Rudolph;6.11;;1;0;1;;;1
53;Dunkerque;Sam;Sam;6.11;Bâtiment de ligne de 26.500 Tonnes Washington;0;1;1;;;0
54;Plataforma de Perforacion JCM-001;Jesus Cruz Mayora;Jesus Cruz Mayora;6.11;;1;1;0;;Oil rigg;0
55;fishing-walk boat;HOF philippe;;6.11;;0;0;1;;;0
56;Stortebeker III;Abeking & Rasmussen;Martijn van Engeland;6.11;;1;0;1;;;1
57;Submarino de 50 mts.;Jesus Cruz Mayora;Jesus Cruz Mayora;6.11;;1;1;0;;Submarine;0
58;snipa as workboat from figeholm sweden;;Henk Schoneveld;6.11;Snipa from Figeholm;1;0;1;;;1
